Title,Price,Ratings,No._of_reviews
Sony PlayStation 2 Console - Black (Renewed),$199.95,4.4 out of 5 stars,"1,131"
PlayStation 2 Slim Console PS2 (Renewed),$209.95,,954
PlayStation 5 Digital Edition (Renewed),,4.4 out of 5 stars,6
PlayStation 5 Digital Edition - CFI-1102B,,,663
"PS5 Stand with PS5 Controller Charging Station Cooling Station for Playstation 5 PS5 Console Disc/Digital Edition, PS5 Accessories-Cooler Fan/Remote Charger/Media&Headset Holder/3-USB Hub/Screw White",,4.5 out of 5 stars,140
"PS5 Stand with 2 Cooling Fan, Dual Fast PS5 Controller Charging Station with 3 Extra USB Ports, PS5 Cooling Station PS5 Accessories Vertical Stand for Sony Playstation 5 Dualsense/Digital/Disc Edition",$39.99,4.3 out of 5 stars,"1,149"
"HyperX Cloud II - Gaming Headset, 7.1 Surround Sound, Memory Foam Ear Pads, Durable Aluminum Frame, Detachable Microphone, Works with PC, PS5, PS4, Xbox Series X|S, Xbox One – Gun Metal",$96.91,4.5 out of 5 stars,"119,951"
"Seagate Game Drive, 2TB, Portable External Hard Drive, Compatible with PS4 and PS5 (STGD2000200)",$76.63,4.7 out of 5 stars,"31,361"
"Heiko Premium ABS Replacement Shell for PS5 Digital Version, Upgrade Your Console with This Heiko Replacement Shell Featuring Cooling Vents and a Sleek Design(Black)",$32.99,,1 rating
PS5 Stand with Silent Cooling Fan for Playstation 5 Disc & Digital Editions PS5 Accessories Cooler Dual Controller Charger Station 3 Levels Adjustable Fans Speed and 11 Games Storage,$35.99,4.3 out of 5 stars,58
